Date,Average_HDD
2018-01-01,13.961077844311378
2018-01-02,16.035528942115768
2018-01-03,14.534331337325352
2018-01-04,13.909580838323352
2018-01-05,13.288822355289422
2018-01-06,14.914171656686626
2018-01-07,17.801197604790417
2018-01-08,18.352894211576846
2018-01-09,16.69540918163673
2018-01-10,16.31057884231537
2018-01-11,17.376447105788426
2018-01-12,17.51497005988024
2018-01-13,18.461676646706586
2018-01-14,20.261277445109783
2018-01-15,19.10698602794411
2018-01-16,16.652894211576843
2018-01-17,18.795209580838325
2018-01-18,16.986027944111775
2018-01-19,18.33193612774451
2018-01-20,19.062475049900197
2018-01-21,19.79700598802395
2018-01-22,18.43552894211577
2018-01-23,15.89820359281437
2018-01-24,12.166467065868263
2018-01-25,12.905788423153693
2018-01-26,14.97305389221557
2018-01-27,15.9874251497006
2018-01-28,13.77185628742515
2018-01-29,12.438522954091816
2018-01-30,15.724351297405189
2018-01-31,14.746906187624752
2018-02-01,17.649800796812748
2018-02-02,18.47270916334661
2018-02-03,19.47988047808765
2018-02-04,21.009362549800795
2018-02-05,21.736454183266932
2018-02-06,22.941235059760956
2018-02-07,22.713745019920317
2018-02-08,22.973107569721115
2018-02-09,22.23964143426295
2018-02-10,20.37589641434263
2018-02-11,18.86573705179283
2018-02-12,19.73804780876494
2018-02-13,21.429282868525895
2018-02-14,22.297211155378488
2018-02-15,20.381474103585656
2018-02-16,17.91175298804781
2018-02-17,19.87828685258964
2018-02-18,20.235059760956176
2018-02-19,20.81613545816733
2018-02-20,21.219920318725098
2018-02-21,21.422310756972113
2018-02-22,21.91235059760956
2018-02-23,22.964342629482072
2018-02-24,23.28844621513944
2018-02-25,26.140438247011954
2018-02-26,27.60219123505976
2018-02-27,28.75458167330677
2018-02-28,29.730677290836656
2018-03-01,27.140438247011954
2018-03-02,26.17828685258964
2018-03-03,23.79322709163347
2018-03-04,19.358764940239045
2018-03-05,16.295617529880477
2018-03-06,17.92470119521912
2018-03-07,16.904382470119522
2018-03-08,15.526294820717133
2018-03-09,15.313545816733066
2018-03-10,12.523306772908366
2018-03-11,10.384262948207171
2018-03-12,11.936454183266934
2018-03-13,13.700597609561752
2018-03-14,16.04780876494024
2018-03-15,15.928685258964144
2018-03-16,17.09860557768924
2018-03-17,22.34183266932271
2018-03-18,23.557569721115538
2018-03-19,23.115537848605577
2018-03-20,21.649203187251
2018-03-21,20.50796812749004
2018-03-22,19.14402390438247
2018-03-23,17.03167330677291
2018-03-24,16.04223107569721
2018-03-25,15.370119521912349
2018-03-26,15.70796812749004
2018-03-27,15.735059760956176
2018-03-28,14.612549800796813
2018-03-29,15.797808764940239
2018-03-30,14.53784860557769
2018-03-31,15.142430278884461
2018-04-01,16.472854291417168
2018-04-02,13.811576846307386
2018-04-03,7.616966067864272
2018-04-04,7.841716566866267
2018-04-05,12.300399201596806
2018-04-06,13.537125748502994
2018-04-07,8.29061876247505
2018-04-08,5.530339321357285
2018-04-09,6.495409181636727
2018-04-10,6.563073852295409
2018-04-11,9.15548902195609
2018-04-12,5.850099800399201
2018-04-13,8.445508982035928
2018-04-14,8.659281437125747
2018-04-15,7.3544910179640715
2018-04-16,7.573453093812375
2018-04-17,6.855089820359281
2018-04-18,2.586826347305389
2018-04-19,0.8221556886227545
2018-04-20,0.2892215568862276
2018-04-21,1.5920159680638721
2018-04-22,1.313373253493014
2018-04-23,2.563672654690619
2018-04-24,6.541117764471058
2018-04-25,6.658483033932135
2018-04-26,10.926347305389223
2018-04-27,9.156487025948103
2018-04-28,6.148902195608782
2018-04-29,2.3890219560878245
2018-04-30,5.782435129740519
2018-05-01,10.754435483870967
2018-05-02,9.598991935483872
2018-05-03,7.766532258064516
2018-05-04,6.907258064516129
2018-05-05,4.7205645161290315
2018-05-06,2.615120967741935
2018-05-07,1.0875000000000001
2018-05-08,0.4862903225806452
2018-05-09,0.7891129032258064
2018-05-10,3.9116935483870967
2018-05-11,5.905645161290322
2018-05-12,0.7348790322580645
2018-05-13,1.6699596774193548
2018-05-14,1.7975806451612903
2018-05-15,3.914112903225807
2018-05-16,5.535282258064516
2018-05-17,6.951814516129032
2018-05-18,8.290725806451613
2018-05-19,7.011088709677419
2018-05-20,3.2
2018-05-21,0.8977822580645162
2018-05-22,0.6036290322580645
2018-05-23,0.4431451612903226
2018-05-24,0.8181451612903224
2018-05-25,0.28326612903225806
2018-05-26,0.10483870967741936
2018-05-27,0.16149193548387097
2018-05-28,0.04133064516129032
2018-05-29,0.046572580645161295
2018-05-30,0.06350806451612903
2018-05-31,0.05705645161290322
2018-06-01,0.12630522088353413
2018-06-02,0.23895582329317272
2018-06-03,0.128714859437751
2018-06-04,0.0891566265060241
2018-06-05,0.22008032128514055
2018-06-06,0.08212851405622491
2018-06-07,0.05943775100401607
2018-06-08,0.05742971887550201
2018-06-09,0.055421686746987955
2018-06-10,0.05220883534136546
2018-06-11,0.1471887550200803
2018-06-12,1.845582329317269
2018-06-13,5.779718875502009
2018-06-14,2.8746987951807226
2018-06-15,0.7026104417670683
2018-06-16,0.09236947791164658
2018-06-17,0.3877510040160643
2018-06-18,0.32670682730923695
2018-06-19,0.1775100401606426
2018-06-20,0.04819277108433735
2018-06-21,1.6799196787148596
2018-06-22,8.08714859437751
2018-06-23,7.491365461847389
2018-06-24,5.550602409638554
2018-06-25,2.5443775100401607
2018-06-26,1.2829317269076306
2018-06-27,0.5228915662650602
2018-06-28,1.034136546184739
2018-06-29,0.09819277108433735
2018-06-30,0.21566265060240966
2018-07-01,0.8842105263157893
2018-07-02,0.42854251012145744
2018-07-03,0.0931174089068826
2018-07-04,0.03279352226720648
2018-07-05,0.09493927125506073
2018-07-06,0.34615384615384615
2018-07-07,0.1862348178137652
2018-07-08,0.15789473684210525
2018-07-09,0.3854251012145749
2018-07-10,2.224898785425101
2018-07-11,2.7902834008097166
2018-07-12,0.6222672064777327
2018-07-13,0.0874493927125506
2018-07-14,0.06923076923076923
2018-07-15,0.07307692307692308
2018-07-16,0.08279352226720647
2018-07-17,0.05910931174089069
2018-07-18,0.08036437246963564
2018-07-19,0.06882591093117409
2018-07-20,0.029959514170040488
2018-07-21,0.0854251012145749
2018-07-22,0.16032388663967612
2018-07-23,0.059919028340080976
2018-07-24,0.02894736842105263
2018-07-25,0.029554655870445343
2018-07-26,0.029352226720647773
2018-07-27,0.026923076923076925
2018-07-28,0.038866396761133605
2018-07-29,0.02672064777327935
2018-07-30,0.02348178137651822
2018-07-31,0.022064777327935225
2018-08-01,0.022379032258064514
2018-08-02,0.025201612903225805
2018-08-03,0.02278225806451613
2018-08-04,0.02278225806451613
2018-08-05,0.038306451612903226
2018-08-06,0.02217741935483871
2018-08-07,0.023588709677419353
2018-08-08,0.024798387096774194
2018-08-09,0.023588709677419353
2018-08-10,0.36068548387096777
2018-08-11,0.5629032258064516
2018-08-12,0.07338709677419356
2018-08-13,0.1314516129032258
2018-08-14,0.28145161290322585
2018-08-15,0.18629032258064518
2018-08-16,0.0405241935483871
2018-08-17,0.030443548387096772
2018-08-18,0.05463709677419355
2018-08-19,0.02721774193548387
2018-08-20,0.04233870967741935
2018-08-21,0.05181451612903226
2018-08-22,0.025
2018-08-23,0.0280241935483871
2018-08-24,0.3883064516129032
2018-08-25,6.465322580645162
2018-08-26,6.715725806451613
2018-08-27,1.3058467741935484
2018-08-28,0.29858870967741935
2018-08-29,0.03931451612903226
2018-08-30,0.9368951612903227
2018-08-31,4.711895161290323
2018-09-01,4.419999999999999
2018-09-02,3.1511111111111116
2018-09-03,0.7993939393939392
2018-09-04,0.5743434343434344
2018-09-05,0.16303030303030303
2018-09-06,0.10727272727272726
2018-09-07,1.5355555555555553
2018-09-08,3.2509090909090905
2018-09-09,0.675959595959596
2018-09-10,0.1595959595959596
2018-09-11,0.06646464646464646
2018-09-12,0.6642424242424243
2018-09-13,3.2127272727272724
2018-09-14,3.2486868686868684
2018-09-15,3.7078787878787876
2018-09-16,2.6145454545454543
2018-09-17,0.3226262626262626
2018-09-18,0.05272727272727273
2018-09-19,0.06787878787878789
2018-09-20,0.04
2018-09-21,0.5925252525252526
2018-09-22,7.921212121212121
2018-09-23,7.3816161616161615
2018-09-24,11.241616161616161
2018-09-25,12.192929292929293
2018-09-26,9.945656565656567
2018-09-27,4.632929292929293
2018-09-28,8.421818181818182
2018-09-29,11.277575757575757
2018-09-30,10.183434343434344
2018-10-01,11.54466800804829
2018-10-02,12.345070422535212
2018-10-03,9.405633802816903
2018-10-04,9.713078470824948
2018-10-05,7.226961770623743
2018-10-06,4.532595573440643
2018-10-07,7.949094567404426
2018-10-08,9.574647887323945
2018-10-09,7.835211267605634
2018-10-10,5.1704225352112685
2018-10-11,2.5464788732394363
2018-10-12,1.0356136820925554
2018-10-13,1.743460764587525
2018-10-14,2.276861167002012
2018-10-15,3.517907444668008
2018-10-16,5.409054325955735
2018-10-17,6.15251509054326
2018-10-18,8.178269617706237
2018-10-19,10.071428571428571
2018-10-20,10.94688128772636
2018-10-21,11.569818913480887
2018-10-22,12.404225352112677
2018-10-23,11.42575452716298
2018-10-24,9.367806841046278
2018-10-25,9.104426559356137
2018-10-26,10.852917505030181
2018-10-27,14.283299798792758
2018-10-28,16.509657947686115
2018-10-29,15.316901408450704
2018-10-30,12.759154929577464
2018-10-31,13.075653923541248
2018-11-01,12.664929859719441
2018-11-02,12.227855711422846
2018-11-03,13.46432865731463
2018-11-04,11.850901803607213
2018-11-05,10.210220440881763
2018-11-06,10.30060120240481
2018-11-07,10.74509018036072
2018-11-08,11.088376753507015
2018-11-09,11.619238476953909
2018-11-10,10.901603206412824
2018-11-11,9.986172344689379
2018-11-12,9.313426853707414
2018-11-13,10.98316633266533
2018-11-14,13.88496993987976
2018-11-15,15.344488977955912
2018-11-16,16.267735470941883
2018-11-17,17.71002004008016
2018-11-18,18.934068136272543
2018-11-19,18.02545090180361
2018-11-20,18.64188376753507
2018-11-21,19.22244488977956
2018-11-22,18.70881763527054
2018-11-23,18.59158316633267
2018-11-24,17.196192384769542
2018-11-25,16.414829659318638
2018-11-26,17.068336673346693
2018-11-27,19.314629258517034
2018-11-28,19.633466933867737
2018-11-29,17.552905811623248
2018-11-30,16.512424849699396
2018-12-01,15.107444668008048
2018-12-02,12.379476861167003
2018-12-03,9.683098591549296
2018-12-04,14.44426559356137
2018-12-05,17.65855130784708
2018-12-06,13.508651911468814
2018-12-07,10.478068410462777
2018-12-08,13.861368209255534
2018-12-09,13.788933601609658
2018-12-10,16.551106639839034
2018-12-11,17.612273641851104
2018-12-12,18.727766599597587
2018-12-13,20.316096579476863
2018-12-14,21.02897384305835
2018-12-15,21.674446680080486
2018-12-16,21.517102615694164
2018-12-17,18.619919517102616
2018-12-18,17.483702213279678
2018-12-19,17.687122736418512
2018-12-20,15.80281690140845
2018-12-21,13.0738430583501
2018-12-22,12.464587525150904
2018-12-23,13.50523138832998
2018-12-24,16.97665995975855
2018-12-25,18.09134808853119
2018-12-26,18.618309859154927
2018-12-27,18.035814889336013
2018-12-28,18.185714285714283
2018-12-29,17.440442655935612
2018-12-30,15.234808853118714
2018-12-31,14.579476861167002
2019-01-01,14.876861167002014
2019-01-02,18.65975855130785
2019-01-03,21.03038229376257
2019-01-04,19.190744466800805
2019-01-05,16.277867203219316
2019-01-06,16.86096579476861
2019-01-07,16.608853118712275
2019-01-08,16.298189134808855
2019-01-09,19.044064386317906
2019-01-10,20.441649899396378
2019-01-11,19.640442655935612
2019-01-12,16.82334004024145
2019-01-13,14.921529175050301
2019-01-14,17.525352112676053
2019-01-15,17.12937625754527
2019-01-16,16.376861167002012
2019-01-17,16.733199195171025
2019-01-18,20.973843058350102
2019-01-19,23.290543259557342
2019-01-20,24.567002012072432
2019-01-21,24.334406438631788
2019-01-22,24.406639839034202
2019-01-23,25.053722334004025
2019-01-24,24.73440643863179
2019-01-25,23.802615694164988
2019-01-26,18.351911468812876
2019-01-27,16.401006036217304
2019-01-28,18.617706237424546
2019-01-29,20.230382293762574
2019-01-30,21.08712273641851
2019-01-31,21.21267605633803
2019-02-01,19.827530364372468
2019-02-02,18.997773279352224
2019-02-03,19.581983805668017
2019-02-04,20.45627530364373
2019-02-05,20.021862348178136
2019-02-06,19.77591093117409
2019-02-07,18.526315789473685
2019-02-08,15.61497975708502
2019-02-09,13.981983805668015
2019-02-10,14.280566801619434
2019-02-11,16.961133603238864
2019-02-12,17.886437246963567
2019-02-13,16.86619433198381
2019-02-14,16.436842105263157
2019-02-15,15.498178137651822
2019-02-16,14.455263157894736
2019-02-17,14.362955465587046
2019-02-18,14.419635627530365
2019-02-19,14.908906882591094
2019-02-20,14.978137651821863
2019-02-21,13.59919028340081
2019-02-22,14.379352226720648
2019-02-23,18.181174089068826
2019-02-24,16.710526315789473
2019-02-25,14.478744939271255
2019-02-26,13.438663967611335
2019-02-27,12.600809716599189
2019-02-28,12.089878542510121
2019-03-01,13.996146044624748
2019-03-02,14.801825557809329
2019-03-03,11.331643002028397
2019-03-04,11.941379310344828
2019-03-05,15.077079107505071
2019-03-06,12.956389452332656
2019-03-07,11.336105476673428
2019-03-08,13.704259634888437
2019-03-09,12.893509127789047
2019-03-10,13.39107505070994
2019-03-11,17.361663286004056
2019-03-12,15.487018255578095
2019-03-13,14.863488843813387
2019-03-14,15.29634888438134
2019-03-15,12.913995943204869
2019-03-16,12.114401622718052
2019-03-17,12.86815415821501
2019-03-18,16.29310344827586
2019-03-19,16.818255578093307
2019-03-20,15.203853955375253
2019-03-21,12.402839756592293
2019-03-22,10.98052738336714
2019-03-23,11.48580121703854
2019-03-24,13.206490872210951
2019-03-25,15.778498985801217
2019-03-26,15.573833671399594
2019-03-27,14.127180527383368
2019-03-28,12.337322515212982
2019-03-29,10.937119675456389
2019-03-30,10.30973630831643
2019-03-31,11.729614604462476
2019-04-01,12.879757085020243
2019-04-02,10.236437246963563
2019-04-03,10.505668016194331
2019-04-04,13.007287449392713
2019-04-05,13.111336032388664
2019-04-06,9.79757085020243
2019-04-07,9.143927125506073
2019-04-08,9.81923076923077
2019-04-09,11.827732793522268
2019-04-10,13.78076923076923
2019-04-11,15.642510121457489
2019-04-12,17.08502024291498
2019-04-13,17.25668016194332
2019-04-14,16.22753036437247
2019-04-15,12.370647773279352
2019-04-16,10.975506072874493
2019-04-17,9.152631578947368
2019-04-18,6.981376518218624
2019-04-19,5.012550607287449
2019-04-20,5.418623481781377
2019-04-21,5.6417004048583
2019-04-22,4.811133603238867
2019-04-23,4.568421052631579
2019-04-24,1.9742914979757085
2019-04-25,3.027327935222672
2019-04-26,8.687854251012146
2019-04-27,10.882995951417005
2019-04-28,12.621255060728744
2019-04-29,12.315991902834009
2019-04-30,10.123076923076923
2019-05-01,9.392292089249493
2019-05-02,9.600405679513184
2019-05-03,12.011359026369167
2019-05-04,15.451521298174443
2019-05-05,15.362068965517242
2019-05-06,14.423732251521297
2019-05-07,12.964503042596348
2019-05-08,10.678904665314402
2019-05-09,9.15030425963489
2019-05-10,9.366531440162271
2019-05-11,10.766328600405679
2019-05-12,11.829817444219067
2019-05-13,11.399391480730223
2019-05-14,12.14158215010142
2019-05-15,12.320892494929007
2019-05-16,11.64888438133874
2019-05-17,8.536511156186613
2019-05-18,4.590872210953347
2019-05-19,2.7945233265720084
2019-05-20,4.968762677484786
2019-05-21,6.252941176470588
2019-05-22,8.2920892494929
2019-05-23,6.688640973630831
2019-05-24,2.749898580121704
2019-05-25,5.71237322515213
2019-05-26,3.162677484787018
2019-05-27,3.047870182555781
2019-05-28,7.613793103448276
2019-05-29,9.009939148073022
2019-05-30,5.183975659229208
2019-05-31,0.9117647058823529
2019-06-01,0.17090163934426228
2019-06-02,0.05614754098360656
2019-06-03,0.033196721311475406
2019-06-04,0.06147540983606557
2019-06-05,0.028688524590163935
2019-06-06,2.736065573770492
2019-06-07,1.2047131147540981
2019-06-08,2.5594262295081966
2019-06-09,0.8965163934426229
2019-06-10,0.594672131147541
2019-06-11,0.973155737704918
2019-06-12,1.571311475409836
2019-06-13,0.5547131147540983
2019-06-14,0.037295081967213116
2019-06-15,0.05983606557377049
2019-06-16,0.6602459016393443
2019-06-17,0.08831967213114754
2019-06-18,0.030532786885245904
2019-06-19,0.03012295081967213
2019-06-20,0.12704918032786885
2019-06-21,0.294672131147541
2019-06-22,0.38504098360655736
2019-06-23,0.08811475409836066
2019-06-24,0.023770491803278688
2019-06-25,0.01639344262295082
2019-06-26,0.013114754098360656
2019-06-27,0.2975409836065574
2019-06-28,0.2584016393442623
2019-06-29,0.018442622950819672
2019-06-30,0.017827868852459013
2019-07-01,0.03608247422680412
2019-07-02,0.8292783505154637
2019-07-03,2.322680412371134
2019-07-04,0.8214432989690721
2019-07-05,0.2657731958762886
2019-07-06,0.4057731958762887
2019-07-07,2.74
2019-07-08,4.916494845360825
2019-07-09,5.334639175257732
2019-07-10,2.111134020618557
2019-07-11,1.7321649484536086
2019-07-12,0.7222680412371134
2019-07-13,1.442680412371134
2019-07-14,2.7771134020618558
2019-07-15,2.7647422680412372
2019-07-16,1.8874226804123713
2019-07-17,0.6748453608247423
2019-07-18,0.09731958762886599
2019-07-19,0.11814432989690721
2019-07-20,0.027010309278350516
2019-07-21,0.09092783505154639
2019-07-22,0.040412371134020623
2019-07-23,0.01979381443298969
2019-07-24,0.019175257731958766
2019-07-25,0.018350515463917527
2019-07-26,0.022268041237113404
2019-07-27,0.04082474226804124
2019-07-28,0.12824742268041237
2019-07-29,0.09278350515463918
2019-07-30,0.05298969072164948
2019-07-31,0.13896907216494847
2019-08-01,0.1136734693877551
2019-08-02,0.13591836734693877
2019-08-03,0.31551020408163266
2019-08-04,0.09020408163265306
2019-08-05,0.05469387755102041
2019-08-06,0.06795918367346938
2019-08-07,0.18714285714285714
2019-08-08,0.14979591836734696
2019-08-09,0.03306122448979592
2019-08-10,0.07693877551020409
2019-08-11,0.09612244897959184
2019-08-12,1.1306122448979592
2019-08-13,2.8157142857142854
2019-08-14,2.4667346938775516
2019-08-15,1.6191836734693879
2019-08-16,0.4887755102040816
2019-08-17,0.22857142857142856
2019-08-18,0.05040816326530612
2019-08-19,0.253265306122449
2019-08-20,1.4483673469387757
2019-08-21,1.6075510204081633
2019-08-22,0.5016326530612245
2019-08-23,0.11530612244897959
2019-08-24,0.04
2019-08-25,0.02959183673469388
2019-08-26,0.02836734693877551
2019-08-27,0.02693877551020408
2019-08-28,0.025714285714285714
2019-08-29,0.030204081632653063
2019-08-30,0.027959183673469386
2019-08-31,0.026122448979591838
2019-09-01,0.2053388090349076
2019-09-02,3.3989733059548257
2019-09-03,2.906365503080082
2019-09-04,0.5484599589322382
2019-09-05,4.44517453798768
2019-09-06,6.787268993839837
2019-09-07,7.076591375770021
2019-09-08,7.461601642710472
2019-09-09,8.080698151950719
2019-09-10,7.241273100616017
2019-09-11,5.02422997946612
2019-09-12,0.6164271047227925
2019-09-13,0.4967145790554414
2019-09-14,4.078028747433265
2019-09-15,1.4720739219712524
2019-09-16,3.9932238193018477
2019-09-17,6.105954825462012
2019-09-18,9.447638603696099
2019-09-19,10.483162217659139
2019-09-20,9.8782340862423
2019-09-21,6.285420944558521
2019-09-22,2.7154004106776184
2019-09-23,4.451129363449692
2019-09-24,4.490554414784395
2019-09-25,5.4462012320328546
2019-09-26,3.554414784394251
2019-09-27,2.759753593429158
2019-09-28,4.8217659137577
2019-09-29,3.506365503080082
2019-09-30,5.5981519507186865
2019-10-01,5.783026584867076
2019-10-02,9.757873210633948
2019-10-03,11.564212678936606
2019-10-04,11.331901840490797
2019-10-05,11.34723926380368
2019-10-06,12.907770961145193
2019-10-07,12.471779141104296
2019-10-08,8.908179959100206
2019-10-09,9.121881390593048
2019-10-10,9.979550102249489
2019-10-11,8.152760736196319
2019-10-12,4.107770961145195
2019-10-13,1.4936605316973417
2019-10-14,2.0130879345603274
2019-10-15,4.403271983640082
2019-10-16,8.177300613496932
2019-10-17,6.952351738241309
2019-10-18,7.107157464212679
2019-10-19,8.39161554192229
2019-10-20,6.850511247443763
2019-10-21,6.801840490797546
2019-10-22,8.57361963190184
2019-10-23,8.531901840490798
2019-10-24,7.237014314928426
2019-10-25,7.359304703476482
2019-10-26,6.005930470347647
2019-10-27,9.111656441717793
2019-10-28,13.485889570552148
2019-10-29,14.848466257668713
2019-10-30,16.666257668711655
2019-10-31,17.630061349693257
2019-11-01,15.570331950207468
2019-11-02,8.591908713692947
2019-11-03,9.57780082987552
2019-11-04,10.444605809128632
2019-11-05,12.273029045643154
2019-11-06,13.332365145228215
2019-11-07,13.52883817427386
2019-11-08,14.818672199170125
2019-11-09,15.6649377593361
2019-11-10,17.942323651452284
2019-11-11,18.153319502074687
2019-11-12,16.058091286307054
2019-11-13,16.718672199170125
2019-11-14,16.692323651452284
2019-11-15,15.629460580912863
2019-11-16,16.05103734439834
2019-11-17,16.523236514522818
2019-11-18,15.279460580912863
2019-11-19,16.114315352697098
2019-11-20,17.520331950207467
2019-11-21,16.032572614107885
2019-11-22,15.643775933609957
2019-11-23,14.568257261410789
2019-11-24,15.581120331950208
2019-11-25,16.150829875518674
2019-11-26,13.932572614107883
2019-11-27,12.62551867219917
2019-11-28,11.486929460580914
2019-11-29,15.179460580912863
2019-11-30,18.439004149377595
2019-12-01,19.747142857142858
2019-12-02,18.478367346938775
2019-12-03,17.739795918367346
2019-12-04,18.82530612244898
2019-12-05,20.44530612244898
2019-12-06,18.01102040816327
2019-12-07,13.249591836734693
2019-12-08,12.420612244897958
2019-12-09,14.250612244897958
2019-12-10,17.934081632653058
2019-12-11,18.542244897959186
2019-12-12,18.117346938775512
2019-12-13,18.445510204081636
2019-12-14,15.589183673469385
2019-12-15,13.625714285714286
2019-12-16,13.912857142857144
2019-12-17,11.839183673469387
2019-12-18,13.072040816326533
2019-12-19,14.564489795918366
2019-12-20,13.528163265306123
2019-12-21,14.720816326530612
2019-12-22,15.230204081632651
2019-12-23,14.203877551020408
2019-12-24,14.513877551020409
2019-12-25,14.759387755102042
2019-12-26,16.81591836734694
2019-12-27,17.503061224489795
2019-12-28,20.52326530612245
2019-12-29,21.26918367346939
2019-12-30,17.98795918367347
2019-12-31,17.726938775510206
2020-01-01,20.344421487603306
2020-01-02,20.514669421487604
2020-01-03,15.825
2020-01-04,16.27809917355372
2020-01-05,17.59710743801653
2020-01-06,18.12706611570248
2020-01-07,17.328925619834713
2020-01-08,15.066528925619835
2020-01-09,12.278719008264462
2020-01-10,13.06900826446281
2020-01-11,16.9400826446281
2020-01-12,17.699793388429754
2020-01-13,16.000826446280993
2020-01-14,13.919628099173554
2020-01-15,12.238636363636363
2020-01-16,14.013429752066116
2020-01-17,15.422727272727274
2020-01-18,16.552272727272726
2020-01-19,18.2646694214876
